created_at,one_minutes,sent_score,sent_label,sadness,joy,fear,disgust,anger,count
6/23/2020 15:34,5,0,neutral,0.310274,0.077747,0.129784,0.095846,0.051511,1
6/23/2020 15:34,5,0,neutral,0.542248,0.305039,0.105973,0.049587,0.061151,1
6/23/2020 15:34,5,0,neutral,0.171702,0.043331,0.164896,0.218962,0.473377,1
6/23/2020 15:34,5,0,neutral,0.378117,0.339602,0.080781,0.059971,0.112385,1
6/23/2020 15:34,5,-0.851266,negative,0.832519,0.027346,0.21253,0.017728,0.097245,1
6/23/2020 15:34,5,0,neutral,0.144548,0.185315,0.087573,0.077654,0.090723,1
6/23/2020 15:34,5,-0.559247,negative,0.148831,0.17404,0.121741,0.074744,0.101596,1
6/23/2020 15:34,5,-0.627986,negative,0.371166,0.289436,0.358937,0.048125,0.072566,1
6/23/2020 15:34,5,0,neutral,0.117282,0.18099,0.171552,0.104865,0.137926,1
6/23/2020 15:35,5,-0.969766,negative,0.141719,0.191139,0.08519,0.078108,0.091797,1
6/23/2020 15:35,5,-0.755711,negative,0.782266,0.062757,0.209451,0.034442,0.045701,1
6/23/2020 15:35,5,0,neutral,0.357671,0.254793,0.131115,0.074609,0.055153,1
6/23/2020 15:35,5,0,neutral,0.171702,0.043331,0.164896,0.218962,0.473377,1
6/23/2020 15:35,5,0.357855,positive,0.081866,0.640672,0.056082,0.022509,0.025085,1
6/23/2020 15:35,5,-0.68651,negative,0.766146,0.047751,0.200102,0.036979,0.100403,1
6/23/2020 15:35,5,0,neutral,0.090147,0.646456,0.068858,0.023986,0.026877,1
6/23/2020 15:35,5,-0.755711,negative,0.782266,0.062757,0.209451,0.034442,0.045701,1
6/23/2020 15:35,5,0,neutral,0.145128,0.585462,0.182305,0.090854,0.086226,1
6/23/2020 15:35,5,0.911522,positive,0.042881,0.736174,0.120332,0.015847,0.012348,1
6/23/2020 15:35,5,0,neutral,0.353426,0.161346,0.014268,0.195004,0.190975,1
6/23/2020 15:35,5,-0.627986,negative,0.371166,0.289436,0.358937,0.048125,0.072566,1
6/23/2020 15:35,5,0.472581,positive,0.20332,0.673501,0.024987,0.018988,0.078408,1
6/23/2020 15:35,6,-0.605871,negative,0.464456,0.220733,0.255584,0.04838,0.074154,1
6/23/2020 15:35,6,0,neutral,0.110801,0.022525,0.154719,0.079248,0.073354,1
6/23/2020 15:35,6,-0.83038,negative,0.165626,0.165868,0.102911,0.083207,0.114803,1
6/23/2020 15:35,6,-0.947017,negative,0.312493,0.037088,0.042188,0.293947,0.43408,1
6/23/2020 15:35,6,0,neutral,0.127584,0.466908,0.088386,0.212104,0.215995,1
6/23/2020 15:35,6,0,neutral,0.090789,0.650767,0.048808,0.057013,0.20041,1
6/23/2020 15:35,6,-0.969766,negative,0.141719,0.191139,0.08519,0.078108,0.091797,1
6/23/2020 15:35,6,0,neutral,0.147162,0.298024,0.087688,0.04109,0.077047,1
6/23/2020 15:35,6,-0.988914,negative,0.432526,0.004963,0.245516,0.50467,0.176253,1
6/23/2020 15:35,6,0,neutral,0.171702,0.043331,0.164896,0.218962,0.473377,1
6/23/2020 15:35,6,0,neutral,0.098403,0.030164,0.279955,0.090913,0.596808,1
6/23/2020 15:35,6,0,neutral,0.101269,0.137079,0.279615,0.038682,0.202625,1
6/23/2020 15:35,6,-0.806052,negative,0.334674,0.038,0.205019,0.48223,0.232619,1
6/23/2020 15:35,6,0.911764,positive,0.275822,0.518593,0.096734,0.032909,0.046484,1
6/23/2020 15:35,6,0.562877,positive,0.184946,0.632372,0.199532,0.009317,0.021375,1
6/23/2020 15:35,6,0.941072,positive,0.043538,0.735504,0.022232,0.014264,0.02488,1
6/23/2020 15:35,6,0.774153,positive,0.063519,0.608489,0.176637,0.112622,0.037551,1
6/23/2020 15:35,6,0,neutral,0.102738,0.159533,0.102599,0.356253,0.026761,1
6/23/2020 15:35,6,0.73534,positive,0.064187,0.633057,0.046904,0.032722,0.045724,1
6/23/2020 15:35,6,-0.755711,negative,0.782266,0.062757,0.209451,0.034442,0.045701,1
6/23/2020 15:35,6,-0.866482,negative,0.07744,0.010832,0.023008,0.585986,0.558096,1
6/23/2020 15:35,6,0,neutral,0.549966,0.129522,0.135517,0.188143,0.17168,1
6/23/2020 15:36,6,-0.988914,negative,0.432526,0.004963,0.245516,0.50467,0.176253,1
6/23/2020 15:36,6,0,neutral,0.151545,0.171955,0.111604,0.072945,0.08686,1
6/23/2020 15:36,6,-0.882087,negative,0.173232,0.14009,0.531116,0.109772,0.070795,1
6/23/2020 15:36,6,0,neutral,0.171702,0.043331,0.164896,0.218962,0.473377,1
6/23/2020 15:36,6,0.531232,positive,0.181555,0.554127,0.023726,0.060255,0.154324,1
6/23/2020 15:36,6,-0.757658,negative,0.219129,0.047702,0.087844,0.337626,0.519976,1
6/23/2020 15:36,6,-0.877366,negative,0.172891,0.244732,0.130852,0.073556,0.154761,1
6/23/2020 15:36,6,-0.988914,negative,0.432526,0.004963,0.245516,0.50467,0.176253,1
6/23/2020 15:36,6,0.738569,positive,0.023747,0.891747,0.09063,0.001105,0.000766,1
6/23/2020 15:36,6,0,neutral,0.132521,0.167858,0.081666,0.058677,0.077127,1
6/23/2020 15:36,6,0.833679,positive,0.092139,0.744653,0.042759,0.0164,0.01607,1
6/23/2020 15:36,6,-0.650086,negative,0.077007,0.444187,0.054294,0.040158,0.139769,1
